Date,Open,High,Low,Close,Adj Close,Volume
2013-12-10,20.127857,20.281429,20.042856,20.198214,17.661085,278269600
1995-12-13,0.341518,0.348214,0.328125,0.342634,0.289681,684902400
2021-03-29,121.650002,122.580002,120.730003,121.389999,119.147743,80819200
2023-12-05,190.210007,194.399994,190.179993,193.419998,192.911850,66628400
2006-07-28,2.283571,2.345714,2.267857,2.342500,1.980473,691507600
1983-02-02,0.186384,0.195313,0.183594,0.191406,0.147725,267052800
2004-08-30,0.607143,0.620000,0.606429,0.609286,0.515122,218142400
1991-12-05,0.450893,0.455357,0.439732,0.446429,0.360368,99198400
2009-05-19,4.529286,4.618214,4.490714,4.551786,3.848319,372422400
2002-02-20,0.406607,0.414286,0.399107,0.413036,0.349202,285443200
2002-11-11,0.281071,0.283750,0.270000,0.270714,0.228876,152975200
2018-10-10,56.365002,56.587502,54.012501,54.090000,51.599731,167962400
1999-08-13,0.541295,0.553571,0.534598,0.536272,0.453393,298435200
1993-09-16,0.216518,0.223214,0.216518,0.220982,0.181503,85960000
2004-05-03,0.464286,0.470179,0.459643,0.465536,0.393589,297634400
2003-07-31,0.370357,0.381250,0.367321,0.376429,0.318253,301464800
1994-05-05,0.296875,0.301339,0.287946,0.293527,0.242823,288332800
1982-08-05,0.055804,0.055804,0.055246,0.055246,0.042638,69753600
2019-02-01,41.740002,42.244999,41.482498,41.630001,39.851955,130672400
2007-06-05,4.336071,4.381786,4.303571,4.381071,3.703990,920785600
2006-04-26,2.380357,2.438571,2.371429,2.433929,2.057772,710886400
2002-09-03,0.258750,0.259821,0.250893,0.250893,0.212118,276936800
2008-07-02,6.257143,6.337500,6.006429,6.006429,5.078152,837519200
1995-08-25,0.409598,0.409598,0.398438,0.399554,0.336755,134344000
2001-06-26,0.416786,0.424464,0.410893,0.424107,0.358562,272781600
1986-07-14,0.165737,0.166853,0.161830,0.161830,0.124899,237440000
2008-06-10,6.446786,6.670714,6.393571,6.630000,5.605352,1140941200
2009-01-15,2.877500,3.004286,2.858929,2.977857,2.517637,1831634000
2006-07-05,2.041071,2.057143,2.020000,2.035714,1.721100,518240800
1999-10-13,0.594866,0.620536,0.569196,0.571708,0.483352,636731200
2012-06-26,20.404642,20.517500,20.261786,20.429644,17.272308,276536400
2002-10-09,0.241786,0.247321,0.239464,0.242679,0.205174,356686400
1991-04-25,0.533482,0.533482,0.522321,0.522321,0.418599,315380800
1983-12-05,0.088728,0.091518,0.088170,0.090960,0.070202,45158400
